sigma,num_edges,num_communities,compute_time
200,3376193,3031,30.02148319999833
500,10343222,2209,101.46937240000261
1000,23543077,1554,275.1302857999981
1500,37704578,1183,700.3009615999981
2000,52743124,911,1109.3755093
