sigma,num_edges,num_communities,compute_time
0.002,3590493,3007,36.27060609997716
0.005,10991248,2184,101.38573450001422
0.01,25019984,1518,362.52973089995794
0.015,39959035,1157,1217.6533117999788
0.02,55709292,897,1154.5772677999921
