position,module
103.858_30.350,1
103.866_30.366,1
103.863_30.362,1
103.862_30.357,1
103.868_30.370,1
103.861_30.354,1
103.863_30.358,1
103.870_30.374,1
103.864_30.360,1
103.860_30.358,1
103.874_30.385,1
103.878_30.393,1
103.871_30.377,1
103.870_30.377,1
103.871_30.381,1
103.869_30.377,1
103.871_30.379,1
103.869_30.375,1
103.873_30.384,1
103.867_30.371,1
103.875_30.388,1
103.874_30.386,1
103.872_30.382,1
103.866_30.370,1
103.868_30.373,1
103.868_30.374,1
103.870_30.378,1
103.864_30.365,1
103.863_30.366,1
103.865_30.370,1
103.873_30.381,1
103.871_30.376,1
103.870_30.372,1
103.870_30.373,1
103.869_30.369,1
103.869_30.368,1
103.869_30.364,1
103.870_30.371,1
103.872_30.377,1
103.873_30.380,1
103.856_30.348,1
103.858_30.352,1
103.854_30.344,1
103.860_30.356,1
103.851_30.339,1
103.860_30.357,1
103.853_30.343,1
103.862_30.361,1
103.857_30.354,1
103.846_30.343,1
103.859_30.357,1
103.853_30.350,1
103.842_30.340,1
103.838_30.337,1
103.856_30.354,1
103.856_30.353,1
103.859_30.358,1
103.862_30.362,1
103.853_30.349,1
103.850_30.347,1
103.849_30.346,1
103.869_30.372,1
103.867_30.367,1
103.865_30.357,1
103.866_30.363,1
103.866_30.362,1
103.865_30.353,1
103.865_30.362,1
103.866_30.358,1
103.867_30.349,1
103.863_30.363,1
103.865_30.367,1
103.861_30.359,1
103.860_30.360,1
103.848_30.350,1
103.856_30.356,1
103.856_30.357,1
103.853_30.353,1
103.860_30.359,1
103.868_30.357,1
103.867_30.361,1
103.867_30.366,1
103.863_30.364,1
103.866_30.369,1
103.865_30.369,1
103.869_30.366,1
103.868_30.347,1
103.868_30.369,1
103.865_30.359,1
103.866_30.364,1
103.866_30.356,1
103.867_30.364,1
103.866_30.350,1
103.866_30.347,1
103.867_30.365,1
103.866_30.354,1
103.867_30.345,1
103.874_30.387,1
103.876_30.391,1
103.871_30.383,1
103.878_30.395,1
103.869_30.380,1
103.866_30.377,1
103.859_30.372,1
103.853_30.367,1
103.868_30.367,1
103.869_30.371,1
103.867_30.362,1
103.871_30.375,1
103.868_30.361,1
103.869_30.376,1
103.871_30.380,1
103.867_30.372,1
103.864_30.368,1
103.877_30.393,1
103.879_30.397,1
103.874_30.390,1
103.875_30.389,1
103.877_30.394,1
103.873_30.385,1
103.856_30.374,1
103.856_30.379,1
103.858_30.384,1
103.858_30.364,1
103.856_30.345,1
103.859_30.353,1
103.858_30.349,1
103.854_30.341,1
103.852_30.337,1
103.850_30.333,1
103.857_30.349,1
103.852_30.336,1
103.856_30.346,1
103.848_30.328,1
103.854_30.342,1
103.855_30.344,1
103.860_30.353,1
103.857_30.348,1
103.850_30.332,1
103.853_30.340,1
103.852_30.338,1
103.848_30.329,1
103.851_30.336,1
103.861_30.358,1
103.855_30.345,1
103.854_30.340,1
103.850_30.334,1
103.848_30.327,1
103.856_30.344,1
103.853_30.337,1
103.850_30.331,1
103.855_30.341,1
103.847_30.322,1
103.853_30.338,1
103.853_30.341,1
103.854_30.343,1
103.857_30.344,1
103.853_30.339,1
103.851_30.335,1
103.849_30.331,1
103.843_30.318,1
103.855_30.343,1
103.849_30.330,1
103.847_30.326,1
103.845_30.322,1
103.847_30.327,1
103.841_30.314,1
103.845_30.323,1
103.851_30.334,1
103.856_30.347,1
103.839_30.310,1
103.837_30.306,1
103.835_30.300,1
103.837_30.304,1
103.839_30.309,1
103.839_30.308,1
103.829_30.287,1
103.833_30.296,1
103.833_30.295,1
103.831_30.292,1
103.831_30.291,1
103.832_30.291,1
103.835_30.299,1
103.838_30.308,1
103.833_30.297,1
103.837_30.303,1
103.838_30.306,1
103.830_30.290,1
103.834_30.298,1
103.828_30.285,1
103.826_30.281,1
103.834_30.299,1
103.827_30.283,1
103.832_30.294,1
103.836_30.302,1
103.829_30.288,1
103.832_30.295,1
103.826_30.280,1
103.822_30.272,1
103.829_30.289,1
103.830_30.291,1
103.831_30.293,1
103.822_30.273,1
103.824_30.276,1
103.823_30.274,1
103.828_30.287,1
103.827_30.285,1
103.819_30.267,1
103.820_30.269,1
103.846_30.324,1
103.844_30.320,1
103.842_30.315,1
103.842_30.316,1
103.840_30.311,1
103.838_30.307,1
103.840_30.312,1
103.843_30.319,1
103.836_30.303,1
103.841_30.315,1
103.841_30.313,1
103.843_30.317,1
103.845_30.321,1
103.837_30.305,1
103.846_30.325,1
103.844_30.321,1
103.848_30.330,1
103.840_30.309,1
103.842_30.317,1
103.840_30.313,1
103.834_30.297,1
103.846_30.323,1
103.844_30.318,1
103.842_30.314,1
103.844_30.317,1
103.841_30.309,1
103.842_30.313,1
103.843_30.314,1
103.842_30.309,1
103.844_30.319,1
103.836_30.300,1
103.834_30.296,1
103.838_30.305,1
103.840_30.310,1
103.833_30.291,1
103.833_30.292,1
103.832_30.286,1
103.834_30.295,1
103.831_30.287,1
103.833_30.278,1
103.832_30.287,1
103.832_30.283,1
103.832_30.292,1
103.832_30.293,1
103.824_30.277,1
103.828_30.286,1
103.821_30.270,1
103.813_30.252,1
103.835_30.301,1
103.824_30.278,1
103.814_30.255,1
103.817_30.262,1
103.817_30.261,1
103.822_30.271,1
103.826_30.282,1
103.818_30.263,1
103.825_30.279,1
103.819_30.265,1
103.815_30.257,1
103.849_30.329,1
103.847_30.325,1
103.846_30.321,1
103.851_30.333,1
103.847_30.324,1
103.846_30.317,1
103.848_30.325,1
103.850_30.330,1
103.846_30.322,1
103.844_30.313,1
103.845_30.317,1
103.848_30.326,1
103.844_30.308,1
103.850_30.285,1
103.846_30.303,1
103.844_30.298,1
103.845_30.293,1
103.844_30.303,1
103.848_30.294,1
103.844_30.312,1
103.847_30.289,1
103.825_30.277,1
103.823_30.273,1
103.827_30.282,1
103.823_30.268,1
103.824_30.273,1
103.822_30.264,1
103.829_30.286,1
103.827_30.281,1
103.822_30.269,1
103.825_30.278,1
103.849_30.332,1
103.844_30.324,1
103.847_30.328,1
103.846_30.328,1
103.833_30.313,1
103.837_30.316,1
103.838_30.317,1
103.841_30.320,1
103.841_30.321,1
103.851_30.337,1
103.841_30.312,1
103.836_30.298,1
103.838_30.304,1
103.838_30.303,1
103.839_30.307,1
103.837_30.302,1
103.843_30.316,1
103.843_30.315,1
103.858_30.294,1
103.853_30.313,1
103.856_30.304,1
103.851_30.323,1
103.860_30.286,1
103.850_30.323,1
103.850_30.327,1
103.851_30.318,1
103.852_30.313,1
103.851_30.327,1
103.851_30.331,1
103.856_30.298,1
103.853_30.308,1
103.854_30.303,1
103.809_30.243,1
103.812_30.250,1
103.816_30.258,1
103.813_30.251,1
103.810_30.245,1
103.819_30.266,1
103.814_30.254,1
103.811_30.246,1
103.811_30.248,1
103.847_30.330,1
103.838_30.318,1
103.845_30.326,1
103.841_30.322,1
103.835_30.315,1
103.844_30.325,1
103.842_30.322,1
103.820_30.267,1
103.816_30.259,1
103.822_30.276,1
103.823_30.272,1
103.817_30.259,1
103.818_30.262,1
103.825_30.280,1
103.815_30.256,1
103.812_30.251,1
103.831_30.310,1
103.839_30.316,1
103.835_30.313,1
103.842_30.320,1
103.833_30.307,1
103.820_30.300,1
103.823_30.303,1
103.827_30.306,1
103.819_30.288,1
103.819_30.292,1
103.819_30.297,1
103.821_30.280,1
103.846_30.326,1
103.843_30.322,1
103.848_30.331,1
103.843_30.323,1
103.846_30.327,1
103.844_30.322,1
103.840_30.317,1
103.837_30.314,1
103.834_30.293,1
103.834_30.288,1
103.835_30.298,1
103.835_30.271,1
103.835_30.262,1
103.835_30.280,1
103.836_30.257,1
103.834_30.279,1
103.834_30.284,1
103.835_30.275,1
103.826_30.279,1
103.828_30.283,1
103.824_30.275,1
103.823_30.266,1
103.824_30.270,1
103.844_30.304,1
103.843_30.308,1
103.845_30.299,1
103.843_30.313,1
103.848_30.289,1
103.849_30.284,1
103.852_30.279,1
103.846_30.293,1
103.849_30.310,1
103.852_30.299,1
103.848_30.320,1
103.849_30.326,1
103.853_30.301,1
103.847_30.319,1
103.850_30.316,1
103.851_30.308,1
103.858_30.353,1
103.855_30.349,1
103.856_30.350,1
